,EFF_ALL_dp,EFF_ALL_dp0,P_dp,P_dp0
1,0.3667376190979478,0.366737702994153,269530927.1917585,269530988.8506143
2,0.3644388191058761,0.36443888261382934,267244275.5786558,267244322.1492626
3,0.3642928959766657,0.3642929569249496,268354409.1842451,268354454.08147177
4,0.36519860667291126,0.3651986489460568,270396904.820778,270396936.1202614
5,0.3662678682306367,0.3662679141050978,273131303.0826406,273131337.2918968
6,0.36626243478259063,0.3662624879189611,271634676.8213835,271634716.2294129
7,0.3707452168687446,0.3707452903285778,277843365.5406327,277843420.5927989
8,0.37148989781046005,0.37148988899031843,280376636.5345839,280376629.8777094
9,0.372007977725142,0.3720080047319713,281111536.12971044,281111556.53769016
10,0.37054073218317946,0.37054077703446836,279594417.62484074,279594451.4677328
11,0.37195422644097303,0.37195426492272565,281116226.3570182,281116255.4408256
12,0.3699357701277635,0.36993579396876924,280889484.3218998,280889502.42419845
13,0.36691943495230356,0.3669194629645898,276966981.8055093,276967002.9504192
14,0.37054319122559254,0.3705432318006629,280097971.19706714,280098001.86824167
15,0.3687936938940747,0.36879372962410784,275898565.12667835,275898591.85670394
16,0.36972627949945325,0.36972643354688167,275318195.1623012,275318309.8743526
17,0.36485687785030946,0.36485703706949124,268167053.3969484,268167170.42184618
18,0.36720056341827517,0.36720073580216206,270308728.76345885,270308855.6610564
19,0.3674361727632959,0.3674363476571269,269074637.2293463,269074765.3046356
20,0.3672384152849839,0.36723866567412805,262736470.4641457,262736649.60215858
21,0.3653439508716371,0.36534418090559956,261089020.3259437,261089184.7171749
22,0.3642466590310343,0.3642468864918062,260121320.49911785,260121482.9368366
